Year,Month,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
1990,January,52,557,901,365,1109,933,1666,520,879,1828,73,258,1100,1829,1696,1845,1440,1337
1990,February,39,568,909,371,1097,951,1669,519,859,1831,89,277,1084,1816,1680,1839,1429,1319
1990,March,47,561,923,378,1085,956,1652,511,868,1826,99,263,1066,1815,1675,1836,1419,1337
1990,April,42,546,922,368,1065,962,1632,527,861,1826,82,266,1047,1811,1694,1843,1410,1332
1990,May,30,531,927,354,1045,971,1636,533,862,1840,67,269,1030,1819,1681,1830,1414,1335
1990,June,24,538,918,341,1058,987,1625,543,852,1858,53,280,1043,1824,1668,1822,1404,1331
1990,July,42,541,906,359,1073,1001,1642,524,862,1849,35,275,1033,1810,1650,1819,1423,1348
1990,August,58,524,898,376,1083,995,1658,510,866,1867,16,283,1053,1810,1651,1806,1413,1360
1990,September,65,531,900,383,1097,1011,1657,502,854,1869,0,265,1035,1829,1654,1813,1408,1357
1990,October,76,523,912,379,1096,1030,1643,515,873,1889,8,273,1030,1846,1654,1813,1421,1347
1990,November,76,543,899,399,1096,1010,1640,510,871,1874,23,292,1044,1826,1643,1832,1417,1343
1990,December,89,546,890,413,1087,1014,1646,496,855,1857,16,280,1056,1828,1662,1817,1412,1350
1991,January,76,535,902,418,1089,1010,1660,482,861,1875,1,264,1045,1830,1659,1802,1400,1368
1991,February,57,543,894,419,1080,1008,1676,497,865,1865,1,263,1056,1813,1673,1808,1390,1349
1991,March,71,554,897,406,1095,998,1678,490,860,1878,8,272,1056,1830,1669,1799,1373,1346
1991,April,76,542,902,394,1094,982,1663,471,864,1882,11,261,1038,1825,1664,1787,1362,1348
1991,May,96,527,896,377,1097,976,1655,490,875,1880,29,255,1047,1836,1672,1780,1348,1329
1991,June,79,531,879,393,1114,959,1656,473,867,1878,24,249,1045,1840,1673,1792,1343,1343
1991,July,68,544,871,410,1097,947,1671,488,858,1890,26,246,1048,1826,1684,1802,1353,1341
1991,August,88,546,851,418,1114,967,1683,470,846,1882,11,248,1066,1811,1670,1792,1340,1350
1991,September,103,556,851,399,1115,960,1673,488,852,1882,29,268,1080,1809,1666,1780,1354,1337
1991,October,87,543,871,399,1121,953,1660,475,869,1880,17,269,1089,1793,1673,1788,1355,1341
1991,November,100,556,884,415,1128,953,1675,493,860,1870,24,278,1070,1783,1670,1793,1351,1348
1991,December,109,540,884,406,1122,941,1664,486,873,1871,5,260,1050,1777,1654,1811,1368,1330
1992,January,114,530,901,393,1117,953,1680,501,877,1887,6,244,1043,1795,1648,1823,1370,1324
